ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1784671049,2.54,277972,3597988,38459
1784671050,2.54,298264,3577328,39920
1784671051,2.42,295888,3579704,38946
1784671052,2.42,302756,3572836,39433
1784671054,2.42,301904,3573688,40894
1784671084,2.42,301628,3573964,39920
1784671085,2.42,301084,3574508,40407
1784671086,2.47,301040,3574552,39920
1784671088,2.47,301160,3574432,39920
1784671089,2.47,301256,3574336,39433
1784671090,2.47,299612,3575980,40407
1784671091,2.47,298360,3577232,39433
1784671092,2.51,303332,3572292,40407
1784671093,2.51,302916,3572676,39920
1784671094,2.51,302064,3573276,40407
1784671095,2.51,301964,3573776,39920
1784671096,2.51,300832,3574508,39920
1784671097,2.63,301164,3574872,39920
1784671098,2.63,300968,3574624,40407
1784671099,2.63,300224,3575328,39920
1784671100,2.63,300488,3575104,40894
1784671101,2.58,300388,3575500,39920
1784671102,2.58,299764,3575324,39433
1784671103,2.58,299812,3575780,40407
1784671104,2.58,300236,3575104,39920
1784671105,2.58,300320,3575272,40407
1784671106,2.45,299828,3575512,40407
1784671107,2.45,299864,3575476,39920
1784671109,2.45,299672,3575668,39920
